epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.32,1.44333,2.36011,1.50351,0.81877,0.55334,0.56502,0.37294,1.22852,1.38327,1.22141,0.00046641,0.00046641,0.00046641
2,24.4559,1.25213,1.26619,1.36571,0.77994,0.73962,0.8569,0.55007,1.22314,1.14018,1.1986,0.000924077,0.000924077,0.000924077
3,34.2845,1.23754,1.15527,1.33481,0.82287,0.8582,0.88942,0.56404,1.16166,1.18206,1.19154,0.00136288,0.00136288,0.00136288
4,44.1953,1.21327,1.10297,1.30051,0.77977,0.91441,0.87595,0.57743,1.14702,0.90777,1.2329,0.00134412,0.00134412,0.00134412
5,54.2531,1.1994,1.04848,1.285,0.80145,0.94089,0.905,0.58917,1.11771,0.84817,1.20271,0.00131582,0.00131582,0.00131582
6,64.3923,1.1876,1.01435,1.27094,0.80685,0.91538,0.90067,0.604,1.08835,0.8195,1.15131,0.00128753,0.00128753,0.00128753
7,74.5111,1.1605,0.98227,1.24733,0.79018,0.90436,0.88966,0.59111,1.0941,0.82742,1.18123,0.00125923,0.00125923,0.00125923
8,84.6393,1.14647,0.95068,1.24117,0.72472,0.88032,0.87595,0.57127,1.15618,0.83151,1.18515,0.00123094,0.00123094,0.00123094
9,94.8676,1.16583,0.94068,1.25632,0.80314,0.88812,0.88488,0.59065,1.09834,0.84633,1.21241,0.00120265,0.00120265,0.00120265
10,105.094,1.1392,0.91973,1.23269,0.83574,0.88755,0.91662,0.61095,1.06969,0.80497,1.17485,0.00117435,0.00117435,0.00117435
11,115.313,1.12098,0.8882,1.22265,0.80742,0.9414,0.91044,0.61928,1.08398,0.7629,1.18831,0.00114606,0.00114606,0.00114606
12,125.735,1.12584,0.89327,1.23131,0.81361,0.91793,0.90262,0.60569,1.14892,0.75947,1.19891,0.00111776,0.00111776,0.00111776
13,136.168,1.12706,0.88192,1.2178,0.79877,0.88148,0.8938,0.61462,1.06349,0.8771,1.19197,0.00108947,0.00108947,0.00108947
14,146.594,1.10706,0.86554,1.20139,0.86587,0.84965,0.91672,0.60846,1.07745,0.75425,1.16559,0.00106118,0.00106118,0.00106118
15,156.895,1.12683,0.85945,1.2169,0.82349,0.91907,0.91785,0.62315,1.05362,0.77988,1.18923,0.00103288,0.00103288,0.00103288
16,167.245,1.12131,0.86546,1.21507,0.83025,0.92017,0.9146,0.61241,1.08952,0.73154,1.16473,0.00100459,0.00100459,0.00100459
17,177.541,1.09418,0.84442,1.19877,0.80222,0.90959,0.90149,0.61545,1.05313,0.79201,1.15146,0.000976293,0.000976293,0.000976293
18,187.859,1.0991,0.83304,1.19548,0.78654,0.9007,0.8931,0.60172,1.11127,0.8626,1.2097,0.000947999,0.000947999,0.000947999
19,198.077,1.0944,0.82472,1.19944,0.80111,0.87189,0.87867,0.5876,1.08324,0.77694,1.20861,0.000919704,0.000919704,0.000919704
20,208.417,1.09815,0.8322,1.2043,0.83122,0.88357,0.90631,0.61747,1.03032,0.72802,1.16875,0.00089141,0.00089141,0.00089141
21,218.75,1.0835,0.81046,1.18837,0.82934,0.88568,0.91647,0.62202,1.04331,0.73946,1.18893,0.000863116,0.000863116,0.000863116
22,229.246,1.07077,0.79617,1.18003,0.83245,0.9113,0.91662,0.6266,1.0061,0.72046,1.16441,0.000834822,0.000834822,0.000834822
23,239.584,1.07814,0.80109,1.18716,0.81441,0.87325,0.8855,0.61256,1.02846,0.7297,1.17943,0.000806528,0.000806528,0.000806528
