epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2116,1.53386,2.26622,1.59277,0.82652,0.63807,0.69953,0.4505,1.32093,1.32772,1.19862,0.000471372,0.000471372,0.000471372
2,43.6069,1.31028,1.30549,1.41369,0.78397,0.86614,0.86247,0.52236,1.27013,1.09063,1.22525,0.00092894,0.00092894,0.00092894
3,63.8588,1.27476,1.20378,1.37651,0.76739,0.92003,0.87115,0.55961,1.15867,0.97192,1.22396,0.00136765,0.00136765,0.00136765
4,83.921,1.23253,1.13629,1.33267,0.75193,0.8722,0.8786,0.58532,1.1761,1.05703,1.25186,0.00134412,0.00134412,0.00134412
5,104.054,1.23653,1.08647,1.31776,0.83341,0.87862,0.88646,0.60459,1.10179,0.9273,1.19719,0.00131582,0.00131582,0.00131582
6,124.452,1.20266,1.04097,1.29334,0.80094,0.9291,0.9051,0.62069,1.09684,0.8929,1.20433,0.00128753,0.00128753,0.00128753
7,144.727,1.20331,1.01787,1.28979,0.78263,0.90319,0.90166,0.59916,1.13196,0.87576,1.20699,0.00125923,0.00125923,0.00125923
8,165.415,1.19998,0.99519,1.29293,0.81592,0.91967,0.89167,0.61795,1.0626,0.87343,1.19155,0.00123094,0.00123094,0.00123094
9,186.003,1.1859,0.98506,1.27864,0.83075,0.89884,0.91497,0.62033,1.07368,0.80165,1.19623,0.00120265,0.00120265,0.00120265
10,206.432,1.15995,0.94765,1.26641,0.84644,0.91837,0.91142,0.6086,1.08017,0.78602,1.18609,0.00117435,0.00117435,0.00117435
11,227.044,1.15488,0.93745,1.25621,0.78036,0.8541,0.88961,0.5723,1.18,0.937,1.2747,0.00114606,0.00114606,0.00114606
12,247.652,1.16718,0.92961,1.264,0.8499,0.90622,0.91017,0.6153,1.10051,0.79559,1.21395,0.00111776,0.00111776,0.00111776
13,268.388,1.15033,0.91099,1.25185,0.84627,0.90972,0.91562,0.61556,1.04918,0.757,1.19277,0.00108947,0.00108947,0.00108947
14,289.339,1.13698,0.89184,1.23797,0.78611,0.92132,0.89828,0.61326,1.06461,0.80428,1.16674,0.00106118,0.00106118,0.00106118
15,310.132,1.14545,0.90558,1.22892,0.82262,0.9131,0.91129,0.60425,1.10861,0.81869,1.212,0.00103288,0.00103288,0.00103288
16,330.913,1.13163,0.89552,1.23437,0.82925,0.91607,0.9212,0.62574,1.08275,0.77431,1.19924,0.00100459,0.00100459,0.00100459
17,351.68,1.13994,0.87563,1.23359,0.82933,0.92533,0.9211,0.63066,1.04959,0.79124,1.1823,0.000976293,0.000976293,0.000976293
18,372.655,1.13166,0.87096,1.23196,0.83577,0.92865,0.9169,0.63394,1.07596,0.829,1.22133,0.000947999,0.000947999,0.000947999
19,393.768,1.11851,0.8634,1.22344,0.86582,0.88712,0.92105,0.63845,1.08106,0.73404,1.18557,0.000919704,0.000919704,0.000919704
20,414.704,1.10293,0.84607,1.20723,0.85808,0.88085,0.92299,0.63675,1.07176,0.75096,1.20001,0.00089141,0.00089141,0.00089141
21,435.144,1.10823,0.83364,1.21798,0.84708,0.92055,0.92327,0.63377,1.06081,0.74395,1.20214,0.000863116,0.000863116,0.000863116
22,461.527,1.1064,0.846,1.21468,0.85419,0.92114,0.92498,0.63596,1.05926,0.72591,1.18544,0.000834822,0.000834822,0.000834822
23,491.703,1.0929,0.81547,1.20307,0.82222,0.90488,0.90264,0.61958,1.05913,0.76842,1.20919,0.000806528,0.000806528,0.000806528
24,525.133,1.08481,0.81086,1.20081,0.86108,0.91495,0.9209,0.62764,1.06558,0.73191,1.19767,0.000778233,0.000778233,0.000778233
25,552.451,1.08584,0.80952,1.2085,0.87454,0.89537,0.92678,0.64972,1.03277,0.68837,1.18244,0.000749939,0.000749939,0.000749939
26,576.183,1.07806,0.82115,1.20262,0.88005,0.90183,0.92585,0.64692,1.06193,0.69295,1.20237,0.000721645,0.000721645,0.000721645
27,599.004,1.09008,0.81139,1.20019,0.84394,0.91163,0.92234,0.62957,1.0558,0.71831,1.18609,0.000693351,0.000693351,0.000693351
28,622.277,1.06446,0.7833,1.19155,0.83292,0.93539,0.92375,0.65286,1.03512,0.7169,1.19217,0.000665057,0.000665057,0.000665057
29,650.979,1.0541,0.77554,1.17955,0.85416,0.90047,0.92269,0.63695,1.02564,0.70888,1.17708,0.000636762,0.000636762,0.000636762
30,682.236,1.06158,0.78542,1.18882,0.88192,0.90045,0.92353,0.64227,1.03495,0.67747,1.18493,0.000608468,0.000608468,0.000608468
31,713.32,1.06896,0.7892,1.19212,0.83507,0.92792,0.91931,0.6263,1.13211,0.73202,1.22706,0.000580174,0.000580174,0.000580174
32,743.932,1.05225,0.76507,1.18312,0.84646,0.92181,0.92504,0.64722,1.05582,0.7254,1.19579,0.00055188,0.00055188,0.00055188
33,768.86,1.042,0.75762,1.16889,0.83714,0.90766,0.92061,0.64101,1.0274,0.70058,1.18308,0.000523586,0.000523586,0.000523586
34,792.28,1.0466,0.76114,1.17421,0.84554,0.90494,0.91151,0.64666,1.05735,0.69204,1.18848,0.000495291,0.000495291,0.000495291
35,815.701,1.04462,0.75548,1.17288,0.85092,0.905,0.93341,0.64516,1.05769,0.69852,1.19629,0.000466997,0.000466997,0.000466997
36,839.648,1.03742,0.75298,1.16962,0.85065,0.89728,0.91736,0.64011,1.04015,0.68618,1.18101,0.000438703,0.000438703,0.000438703
37,860.74,1.03456,0.74104,1.17016,0.84638,0.90782,0.91634,0.64102,1.03363,0.69345,1.19133,0.000410409,0.000410409,0.000410409
38,889.103,1.02424,0.73901,1.16316,0.8726,0.88174,0.92226,0.6447,1.02915,0.6929,1.18943,0.000382115,0.000382115,0.000382115
39,918.123,1.02188,0.7444,1.1667,0.86702,0.90167,0.92629,0.64838,1.04332,0.681,1.20411,0.00035382,0.00035382,0.00035382
40,949.111,1.00988,0.73308,1.15643,0.83632,0.91494,0.92596,0.64321,1.04273,0.6879,1.1959,0.000325526,0.000325526,0.000325526
41,981.166,1.02101,0.71162,1.17145,0.84725,0.90381,0.92479,0.64611,1.04148,0.72858,1.202,0.000297232,0.000297232,0.000297232
42,1010.27,1.00543,0.70136,1.17026,0.859,0.89835,0.92633,0.64074,1.0465,0.6964,1.19906,0.000268938,0.000268938,0.000268938
43,1041.18,1.00077,0.68538,1.15156,0.84089,0.90717,0.91744,0.63808,1.03446,0.71564,1.19567,0.000240644,0.000240644,0.000240644
