epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0435,1.56596,2.39927,1.59261,0.83281,0.20876,0.33434,0.14795,1.80798,2.36119,1.70016,0.00046641,0.00046641,0.00046641
2,39.415,1.30341,1.31235,1.40927,0.74108,0.65194,0.80884,0.48423,1.34109,1.49227,1.30538,0.000924077,0.000924077,0.000924077
3,57.7787,1.28099,1.20317,1.37006,0.77133,0.73801,0.88997,0.54811,1.27253,1.30331,1.23252,0.00136288,0.00136288,0.00136288
4,76.1081,1.23154,1.11713,1.3155,0.75461,0.85845,0.88135,0.54413,1.24732,0.93598,1.28213,0.00134412,0.00134412,0.00134412
5,94.577,1.22205,1.07812,1.30026,0.80227,0.89556,0.88931,0.56286,1.17316,0.91858,1.1721,0.00131582,0.00131582,0.00131582
6,113.063,1.19094,1.03866,1.28108,0.79555,0.89869,0.8907,0.60879,1.06985,0.8533,1.15683,0.00128753,0.00128753,0.00128753
7,131.498,1.16992,0.99707,1.2645,0.77729,0.88967,0.86083,0.58457,1.11499,0.89112,1.22696,0.00125923,0.00125923,0.00125923
8,149.9,1.17714,0.98315,1.25943,0.77386,0.91002,0.87866,0.60193,1.08004,0.86059,1.21396,0.00123094,0.00123094,0.00123094
9,168.433,1.16019,0.95885,1.24313,0.79034,0.92164,0.88803,0.59826,1.07471,0.7885,1.16526,0.00120265,0.00120265,0.00120265
10,186.983,1.16555,0.95131,1.25138,0.83135,0.88528,0.90033,0.5985,1.06898,0.81306,1.1875,0.00117435,0.00117435,0.00117435
11,205.753,1.14897,0.92711,1.23698,0.79004,0.9148,0.88458,0.60173,1.05274,0.80982,1.17553,0.00114606,0.00114606,0.00114606
12,224.317,1.15256,0.92377,1.23676,0.81279,0.90337,0.90373,0.6238,1.07921,0.80617,1.20543,0.00111776,0.00111776,0.00111776
13,243.552,1.14565,0.90754,1.23083,0.83588,0.88817,0.90348,0.60638,1.05861,0.81233,1.19224,0.00108947,0.00108947,0.00108947
14,262.536,1.12383,0.89331,1.21265,0.80881,0.92697,0.90421,0.61778,1.07305,0.79637,1.18806,0.00106118,0.00106118,0.00106118
15,281.57,1.12355,0.8715,1.2055,0.83201,0.91852,0.9138,0.64201,1.0067,0.74385,1.16558,0.00103288,0.00103288,0.00103288
16,301.013,1.11537,0.87372,1.21097,0.85316,0.8803,0.91216,0.61505,1.0686,0.74682,1.18102,0.00100459,0.00100459,0.00100459
17,319.735,1.1226,0.85496,1.20834,0.83805,0.89962,0.90759,0.58778,1.05937,0.79553,1.18477,0.000976293,0.000976293,0.000976293
18,338.543,1.1131,0.86078,1.21129,0.81685,0.92205,0.91275,0.6342,1.04397,0.76477,1.18106,0.000947999,0.000947999,0.000947999
